timestamp,voltage,frequency,hashrate,temperature,power,efficiency
2025-09-11T00:00:40.344686,1150,750,1413.130108760806,67,23.74542236328125,59.511685542641715
2025-09-11T00:01:40.389698,1150,750,1528.7205584664762,67,23.777463912963867,64.29283476413951
2025-09-11T00:02:40.436443,1150,750,1613.9506974320377,67,23.813232421875,67.7753724836386
2025-09-11T00:03:40.492201,1150,750,1608.2384754448935,67.125,23.74542236328125,67.72835836905534
2025-09-11T00:04:40.540585,1150,750,1743.9288941206364,67,23.709716796875,73.55334140264765
2025-09-11T00:05:40.575181,1150,750,1492.9065349266427,67,23.74542236328125,62.87134050877948
2025-09-11T00:06:40.820387,1150,750,1612.3614125877052,67.125,23.74542236328125,67.90198918849224
2025-09-11T00:07:40.869219,1150,750,1435.686111967347,67.125,23.709716796875,60.552647012492955
2025-09-11T00:08:40.914786,1150,750,2006.0622798633744,67.125,23.74542236328125,84.48206349723432
2025-09-11T00:09:40.954398,1150,750,1565.4691281098528,67.125,23.709716796875,66.02647941860637
2025-09-11T00:26:47.399557,1150,725,1321.8727567140947,65.625,22.852783203125,57.84296577641079
2025-09-11T00:27:47.456375,1150,725,1421.1500434273062,65.625,22.88330078125,62.10424173560489
2025-09-11T00:28:47.498002,1150,725,1556.6472252215,65.5,22.88330078125,68.02546713439949
2025-09-11T01:16:39.100276,1150,725,1528.6977477503872,65.5,22.781370162963867,67.10297654684625
2025-09-11T02:11:45.417211,1150,725,1924.206374656515,65.25,22.781370162963867,84.46403183355214
2025-09-11T02:30:02.215531,1150,725,1373.9101414113895,65.25,22.74566650390625,60.40316036355495
2025-09-11T02:31:02.250698,1150,725,1459.9770550054473,65.375,22.781370162963867,64.0864462743756
2025-09-11T02:32:02.293928,1150,725,1415.3864186653295,65.25,22.811767578125,62.04632823028554
2025-09-11T04:41:28.508698,1150,725,1531.3870913847713,64.875,22.740234375,67.34262567972198
2025-09-11T05:14:40.137132,1150,725,1738.7468642462288,64.625,22.704469680786133,76.58169905274904
2025-09-11T05:15:40.176417,1150,725,1471.238269052676,64.625,22.67425537109375,64.8858471854508
2025-09-11T05:16:40.215741,1150,725,1533.3144685334878,64.75,22.740234375,67.42738193671268
2025-09-11T06:59:03.594526,1150,725,1366.6023523695194,64.125,22.549285888671875,60.60512776841691
2025-09-11T07:22:20.136538,1150,725,1407.7895057747987,64.125,22.584991455078125,62.33296605734443
2025-09-11T07:23:20.187357,1150,725,1694.5376823859308,64.125,22.513580322265625,75.26735677443787
2025-09-11T07:24:20.227953,1150,725,1563.7547385065977,64.25,22.584991455078125,69.23866859179152
2025-09-11T08:30:53.683648,1150,700,1331.9573535539212,64,21.906585693359375,60.8016864060054
2025-09-11T09:08:23.892905,1150,700,1541.960697335017,63.75,21.942291259765625,70.27345864114135
2025-09-11T09:19:11.716380,1150,700,1424.8840603998738,64,21.906585693359375,65.04363940346049
